year,month,date,time
2020,7,7,18:00
2020,7,7,19:00
2020,7,7,20:00
2020,7,7,21:00
2020,7,7,22:00
2020,7,8,18:00
2020,7,8,19:00
2020,7,8,20:00
2020,7,8,21:00
2020,7,8,22:00
2020,7,9,18:00
2020,7,9,19:00
2020,7,9,20:00
2020,7,9,21:00
2020,7,10,22:00
2020,7,10,18:00
2020,7,10,19:00
2020,7,10,20:00
2020,7,10,21:00
2020,7,10,22:00
2020,7,11,18:00
2020,7,11,19:00
2020,7,11,20:00
2020,7,11,21:00
2020,7,11,22:00
2020,7,12,18:00
2020,7,12,19:00
2020,7,12,20:00
2020,7,12,21:00
2020,7,12,22:00
2020,7,13,18:00
2020,7,13,19:00
2020,7,13,20:00
2020,7,13,21:00
2020,7,13,22:00
